UNAIDS_year,iso3,subnational,group,site,point,latitude,longitude,geopositioning_method,admin_level,shapefile,location_code,flag,UNAIDS_lat,UNAIDS_lon,Distance,,Checked,
2017,BFA,,Urbain,Gaoua,1,10.316667,-3.166667,ancss-coordinates-master-list_2018-03-06,,,,,10.316667,-3.166667,,,,
2017,BFA,,Rural,Kaya (%),1,13.083333,-1.083333,ancss-coordinates-master-list_2018-03-06,,,,,13.083333,-1.083333,,,,
2017,BFA,,Rural,Kongoussi (%),1,13.316667,-1.533333,ancss-coordinates-master-list_2018-03-06,,,,,13.316667,-1.533333,,,,
2017,BFA,,Urbain,Koudougou,1,12.25,-2.36667,ancss-coordinates-master-list_2018-03-06,,,,,12.25,-2.36667,,,,
2017,BFA,,Rural,Manga (%),1,11.666667,-1.066667,ancss-coordinates-master-list_2018-03-06,,,,,11.666667,-1.066667,,,,
2017,BFA,,Urbain,Ouagadougou,1,12.35,-1.516667,Google maps - this site represents mult. hospitals (found in reports) that are within 7km. Using mid-point,,,,,12.35,-1.516667,,,,
2017,BFA,,Urbain,Ouahigouya,1,13.567,-2.417,ancss-coordinates-master-list_2018-03-06,,,,,13.567,-2.417,,,,
2017,BFA,,Rural,Sindou (%),1,10.65,-5.166667,ancss-coordinates-master-list_2018-03-06,,,,,10.65,-5.166667,,,,
2017,BFA,,Urbain,Tenkodogo,1,11.783333,-0.366667,ancss-coordinates-master-list_2018-03-06,,,,,11.783333,-0.366667,,,,
2019,BFA,,Rural,Ziniaré....,1,12.590206,-1.295357,Google maps,,,,,,,,,,
2017,BWA,,Rural,Bobirwa district (%),0,,,,2,BWA_adm2,1,,-21.981377,28.4279933,,,,
2017,BWA,,Rural,Boteti (%),0,,,,2,BWA_adm2,2,,-20.9095921,24.7142918,,,,
2017,BWA,,Rural,Chobe (%),0,,,,2,BWA_adm2,17,,-18.4256281,24.7142918,,,,
2017,BWA,,Urban,Francistown (%),0,,,,2,BWA_adm2,16,,-21.1661005,27.5143603,,,,
2017,BWA,,Urban,Gaborone (%),0,,,,2,BWA_adm2,20,,-24.6282079,25.9231471,,,,
2017,BWA,,Rural,Gantsi (%),0,,,,2,BWA_adm2,9,,-21.6960991,21.6481861,,,,
2017,BWA,,Rural,Goodhope (%),0,,,,2,BWA_adm2,22,,-25.4741508,25.4318914,,,,
2017,BWA,,Rural,Hukuntsi (%),0,,,,2,BWA_adm2,11,,-23.9931196,21.7495419,,,,
2017,BWA,,Urban,Jwaneng (%),0,,,,2,BWA_adm2_2011,13,,-24.6059582,24.7202287,,,,
2017,BWA,,Rural,Kgalagadi (%),0,,,,2,BWA_adm2,28,,-24.7550285,21.8568586,,,,
2017,BWA,,Rural,Kgatleng (%),0,,,,2,BWA_adm2,13,,-24.1970445,26.2304616,,,,
2017,BWA,,Urban,Kweneng East (%),0,,,,2,BWA_adm2,14,,-24.3344892,25.4733554,,,,
2017,BWA,,Rural,Kweneng West (%),0,,,,2,BWA_adm2,15,,-23.8212204,24.3341432,,,,
