"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","shapefile","OBJECTID","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3","Shape_Leng","Shape_Area","NAME","COUNTRY_ID","ADMN_LEVEL","PARENT_ID","Area"
"10",2013,0.204487852265325,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2014,0.216694839798358,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015,0.21449089008393,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2016,0.211351046033418,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2017,0.215463458245647,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2009,0.202114393821472,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2010,0.202241318240176,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2011,0.207396771743792,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2008,0.214923627221073,"211","ZAF","South Africa","2","Free State","10","Lejweleputswa","ZA.FS.LE","0","DC18","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2014,0.200657860031012,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
