"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"DIOURBEL",2002,TRUE,0.019,411,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2002,TRUE,0.015,711,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2002,TRUE,0.012,748,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOLDA",2002,TRUE,0.029,698,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2002,TRUE,0.012,923,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2002,TRUE,0.01,1539,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2002,TRUE,0.002,802,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBA",2002,TRUE,0.008,362,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2002,TRUE,0.005,812,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2002,TRUE,0.019,643,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2003,TRUE,0.017,877,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2003,TRUE,0.01,913,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2003,TRUE,0.012,562,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2003,TRUE,0.02,788,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOLDA",2003,TRUE,0.028,433,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2003,TRUE,0.008,626,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2003,TRUE,0.022,581,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2003,TRUE,0.02,656,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2003,TRUE,0.005,789,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBA",2003,TRUE,0.026,470,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2003,TRUE,0.007,976,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2003,TRUE,0.023,730,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2004,TRUE,0.036,635,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2004,TRUE,0.011,1095,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2004,TRUE,0.008,651,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2004,TRUE,0.016,741,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOLDA",2004,TRUE,0.03,528,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2004,TRUE,0.006,624,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2004,TRUE,0.014,1034,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2004,TRUE,0.018,759,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2004,TRUE,0.007,673,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
