"clinic","year_id","used","prev","n","type","agegr","age","agspan","ihme_loc_id","offset","site_pred","adm0_mean","adm0_lower","adm0_upper"
"CDS KAYANZA",2005,TRUE,0.0506,435,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2005,TRUE,0.0728,357,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2006,TRUE,0.049,303,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2007,TRUE,0.038,500,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2008,TRUE,0.022,272,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2009,TRUE,0.03,458,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2010,TRUE,0.031,258,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",1999,TRUE,0.1119,295,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2000,TRUE,0.05,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2001,TRUE,0.1284,218,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2002,TRUE,0.0739,257,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2003,TRUE,0.069,203,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CDS RUMONGE",2004,TRUE,0.0393,458,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1993,TRUE,0.234,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1996,TRUE,0.206,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1997,TRUE,0.175,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1998,TRUE,0.198,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"CMC BUYENZI",1995,TRUE,0.277,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H GITEGA",1997,TRUE,0.17,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H GITEGA",1998,TRUE,0.194,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H KAYANZA",1997,TRUE,0.102,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H KAYANZA",1995,TRUE,0.39,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H RUMONGE",1993,TRUE,0.125,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
"H RUMONGE",1995,TRUE,0.166,349,"ancss","15-49","15","35","BDI",0,0,0,0,0
